,word,depth,close,open
0,un,1,0,2
1,ange,1,0,0
2,de,2,0,1
3,Dieu,2,2,0
4,descend,0,0,0
5,sur,1,0,1
6,la,2,0,1
7,terre,2,2,0
8,",",0,0,0
9,prend,1,0,1
10,l’,2,0,1
11,enfant,2,0,0
12,mort,3,0,1
13,dans,4,0,1
14,ses,5,0,1
15,bras,5,4,0
16,",",2,0,1
17,ouvre,3,0,1
18,ses,4,0,1
19,larges,4,0,0
20,ailes,4,2,0
21,",",2,0,0
22,parcourt,2,0,0
23,tous,3,0,1
24,les,3,0,0
25,lieux,3,0,0
26,que,4,0,1
27,l’,5,0,1
28,enfant,5,1,0
29,a,5,0,1
30,aimés,5,3,0
31,",",2,0,0
32,et,3,0,1
33,cueille,3,0,0
34,une,4,0,1
35,poignée,4,0,0
36,de,5,0,1
37,fleurs,5,5,0
38,.,0,1,0
39,Ces,1,0,2
40,fleurs,1,1,0
41,",",0,0,0
42,tous,1,0,1
43,deux,1,1,0
44,les,1,0,1
45,portent,1,1,0
46,à,1,0,1
47,le,2,0,1
48,bon,3,0,1
49,Dieu,3,3,0
50,pour,2,0,2
51,qu’,2,1,0
52,il,2,0,1
53,les,2,0,0
54,fasse,2,0,0
55,refleurir,2,1,0
56,là-haut,3,0,2
57,plus,3,1,0
58,belles,2,0,0
59,que,3,0,1
60,sur,4,0,1
61,la,5,0,1
62,terre,5,5,0
63,.,0,1,0
64,Le,1,0,2
65,bon,1,0,0
66,Dieu,1,1,0
67,presse,0,0,0
68,les,1,0,1
69,fleurs,1,1,0
70,sur,1,0,1
71,son,2,0,1
72,cœur,2,2,0
73,",",0,0,0
74,et,1,0,1
75,",",1,0,0
76,celle,2,0,1
77,qu’,2,0,0
78,il,3,0,1
79,préfère,3,2,0
80,",",1,0,0
81,il,2,0,1
82,y,2,0,0
83,dépose,2,1,0
84,un,2,0,1
85,baiser,2,2,0
86,.,0,1,0
87,Ce,1,0,2
88,baiser,1,1,0
89,lui,1,0,1
90,donne,1,1,0
91,une,1,0,1
92,voix,1,1,0
93,et,1,0,1
94,la,2,0,1
95,fait,2,1,0
96,se,2,0,1
97,mêler,2,1,0
98,à,2,0,1
99,les,3,0,1
100,chœurs,3,0,0
101,de,4,0,1
102,les,5,0,1
103,bienheureux,5,4,0
104,.,1,1,0
105,»,0,1,0
106,Voilà,0,0,1
107,ce,1,0,1
108,que,2,0,1
109,racontait,2,0,0
110,un,3,0,1
111,ange,3,0,0
112,de,4,0,1
113,Dieu,4,2,0
114,en,3,0,1
115,emportant,3,0,0
116,un,4,0,1
117,enfant,4,0,0
118,mort,4,0,0
119,à,5,0,1
120,le,6,0,1
121,ciel,6,6,0
122,",",0,0,0
123,et,1,0,1
124,l’,3,0,2
125,enfant,3,0,0
126,l’,3,1,0
127,écoutait,2,0,0
128,comme,3,0,1
129,en,4,0,1
130,rêve,4,4,0
131,.,0,1,0
132,Et,1,0,2
133,ils,2,0,1
134,volaient,2,1,0
135,au-dessus,3,0,2
136,de,3,1,0
137,les,3,0,1
138,lieux,3,0,0
139,où,4,0,1
140,le,5,0,1
141,petit,5,1,0
142,avait,5,0,1
143,joué,5,1,0
144,",",4,0,0
145,sur,5,0,1
146,des,6,0,1
147,jardins,6,0,0
148,parsemés,7,0,1
149,de,8,0,1
150,fleurs,9,0,1
151,admirables,9,9,0
152,.,0,1,0
153,«,0,0,1
154,Lesquelles,1,0,1
155,emporterons,1,0,0
156,-nous,1,1,0
157,pour,1,0,1
158,les,2,0,1
159,planter,2,1,0
160,à,2,0,1
161,le,3,0,1
162,ciel,3,3,0
163,?,0,0,0
164,»,0,1,0
165,demanda,0,0,1
166,l’,1,0,1
167,ange,1,1,0
168,.,0,1,0
169,Près,2,0,3
170,d’,2,1,0
171,eux,1,1,0
172,se,1,0,1
173,trouvait,1,1,0
174,un,1,0,1
175,rosier,1,0,0
176,magnifique,1,1,0
177,",",0,0,0
178,mais,1,0,1
179,une,2,0,1
180,méchante,2,0,0
181,main,2,1,0
182,en,2,0,1
183,avait,3,0,1
184,brisé,3,1,0
185,la,3,0,1
186,tige,3,3,0
187,",",0,0,0
188,de,2,0,2
189,sorte,2,0,0
190,que,2,1,0
191,les,2,0,1
192,branches,2,1,0
193,chargées,1,0,0
194,de,2,0,1
195,boutons,3,0,1
196,à,5,0,2
197,peine,5,1,0
198,éclos,4,3,0
199,pendaient,2,0,1
200,et,3,0,1
201,se,4,0,1
202,desséchaient,4,1,0
203,de,4,0,1
204,tous,5,0,1
205,côtés,5,5,0
206,.,0,1,0
207,«,0,0,1
208,Pauvre,1,0,1
209,arbre,1,1,0
210,",",0,0,0
211,dit,0,0,0
212,l’,1,0,1
213,enfant,1,1,0
214,;,0,0,0
215,prends,2,0,2
216,-le,2,1,0
217,pour,3,0,2
218,qu’,3,1,0
219,il,3,0,1
220,refleurisse,3,1,0
221,là-haut,2,0,0
222,près,4,0,2
223,de,4,1,0
224,Dieu,3,2,0
225,.,1,1,0
226,»,0,1,0
227,Et,1,0,2
228,l’,2,0,1
229,ange,2,1,0
230,prit,2,0,1
231,le,3,0,1
232,rosier,3,3,0
233,.,0,1,0
234,Il,1,0,2
235,embrassa,1,1,0
236,l’,1,0,1
237,enfant,1,1,0
238,;,0,0,0
239,le,1,0,1
240,petit,1,0,0
241,ouvrit,1,0,0
242,ses,2,0,1
243,yeux,2,0,0
244,à,3,0,1
245,moitié,3,3,0
246,.,0,1,0
247,Ils,1,0,2
248,cueillirent,1,1,0
249,partout,0,0,0
250,de,1,0,1
251,riches,2,0,1
252,fleurs,2,2,0
253,",",0,0,0
254,sans,1,0,1
255,mépriser,1,0,0
256,la,2,0,1
257,dent-de-lion,2,1,0
258,si,2,0,1
259,souvent,2,0,0
260,dédaignée,2,0,0
261,",",2,0,0
262,ni,3,0,1
263,la,4,0,1
264,pensée,4,0,0
265,sauvage,4,4,0
266,.,0,1,0
267,«,0,0,1
268,Nous,1,0,1
269,avons,1,1,0
270,assez,0,0,0
271,de,1,0,1
272,fleurs,1,1,0
273,maintenant,0,0,0
274,",",0,0,0
275,»,0,0,0
276,dit,1,0,1
277,l’,2,0,1
278,enfant,2,0,0
279,et,3,0,1
280,l’,4,0,1
281,ange,4,4,0
282,fit,1,0,1
283,un,2,0,1
284,signe,2,0,0
285,d’,3,0,1
286,assentiment,3,3,0
287,",",0,0,0
288,mais,1,0,1
289,ils,3,0,2
290,ne,3,0,0
291,volèrent,3,1,0
292,pas,3,0,1
293,encore,3,1,0
294,vers,3,0,1
295,Dieu,3,3,0
296,.,0,1,0
297,Déjà,0,0,1
298,il,1,0,1
299,faisait,2,0,1
300,nuit,2,2,0
301,",",0,0,0
302,partout,1,0,1
303,régnait,1,0,0
304,un,2,0,1
305,profond,2,0,0
306,silence,2,2,0
307,;,0,0,0
308,ils,2,0,2
309,passaient,2,1,0
310,au-dessus,3,0,2
311,d’,3,1,0
312,une,3,0,1
313,petite,3,0,0
314,rue,3,0,0
315,sombre,4,0,1
316,et,5,0,1
317,étroite,5,2,0
318,",",3,0,0
319,remplie,4,0,1
320,d’,5,0,1
321,un,6,0,1
322,amas,6,0,0
323,de,7,0,1
324,vieille,8,0,1
325,paille,8,0,0
326,",",8,0,0
327,de,9,0,1
328,cendres,9,0,0
329,et,10,0,1
330,de,11,0,1
331,balayures,11,11,0
332,.,0,1,0
333,C’,0,0,1
334,était,0,0,0
335,le,1,0,1
336,jour,1,0,0
337,de,2,0,1
338,les,3,0,1
339,déménagements,3,3,0
340,;,0,0,0
341,toutes,2,0,2
342,ces,2,0,0
343,assiettes,2,1,0
344,brisées,2,0,1
345,",",2,0,0
346,tous,4,0,2
347,ces,4,0,0
348,morceaux,4,0,0
349,de,5,0,1
350,statues,5,2,0
351,en,4,0,1
352,plâtre,4,1,0
353,",",3,0,0
354,tous,4,0,1
355,ces,4,0,0
356,haillons,4,1,0
357,offraient,3,0,0
358,un,4,0,1
359,aspect,4,0,0
360,peu,5,0,1
361,agréable,5,5,0
362,.,0,1,0
363,Et,1,0,2
364,l’,2,0,1
365,ange,2,1,0
366,montra,1,0,0
367,à,2,0,1
368,l’,3,0,1
369,enfant,3,2,0
370,",",1,0,0
371,à,3,0,2
372,le,3,0,0
373,milieu,3,0,0
374,de,3,1,0
375,ces,3,0,1
376,débris,3,2,0
377,",",1,0,0
378,quelques,2,0,1
379,fragments,2,0,0
380,d’,3,0,1
381,un,4,0,1
382,pot,4,0,0
383,de,5,0,1
384,fleurs,5,4,0
385,;,1,0,0
386,une,2,0,1
387,motte,2,0,0
388,de,3,0,1
389,terre,4,0,1
390,s’,4,3,0
391,en,2,0,1
392,était,3,0,1
393,détachée,3,1,0
394,",",2,0,0
395,à,4,0,2
396,laquelle,4,1,0
397,tenaient,3,0,0
398,encore,3,0,0
399,les,4,0,1
400,racines,4,0,0
401,d’,5,0,1
402,une,6,0,1
403,grande,6,0,0
404,fleur,6,0,0
405,de,7,0,1
406,les,8,0,1
407,champs,8,0,0
408,fanée,8,5,0
409,et,4,0,1
410,jetée,4,0,0
411,à,5,0,1
412,le,6,0,1
413,rebut,6,6,0
414,.,0,1,0
415,«,0,0,1
416,Emportons,1,0,1
417,-la,1,1,0
418,",",1,0,1
419,dit,1,0,0
420,l’,2,0,1
421,ange,2,2,0
422,;,0,0,0
423,en,1,0,1
424,nous,2,0,1
425,envolant,2,1,0
426,je,3,0,2
427,te,3,0,0
428,dirai,3,1,0
429,pourquoi,2,1,0
430,.,1,1,0
431,»,0,1,0
432,Ils,1,0,2
433,s’,1,0,0
434,élevèrent,1,1,0
435,dans,1,0,1
436,l’,2,0,1
437,air,2,2,0
438,",",0,0,0
439,et,1,0,1
