,word,onset,offset
0,Wacht,0.7,0.92
1,eens,0.92,1.14
2,Zet,1.55,1.71
3,je,1.71,1.77
4,poten,1.77,2.02
5,niet,2.02,2.16
6,zo,2.16,2.26
7,binnenwaarts,2.26,2.78
8,Een,3.2,3.29
9,welopgevoed,3.29,3.94
10,eendje,3.94,4.27
11,zet,4.49,4.63
12,zijn,4.63,4.78
13,poten,4.83,5.16
14,buitenwaarts,5.23,5.85
15,evenals,6.22,6.6
16,vader,6.6,6.91
17,en,6.91,6.94
18,moeder,6.94,7.22
19,doen,7.22,7.42
20,Ziet,8.2,8.37
21,eens,8.37,8.62
22,Zo,8.84,9.13
23,Buigt,9.73,9.91
24,je,9.98,10.06
25,hals,10.06,10.5
26,nu,10.5,10.59
27,en,10.68,10.79
28,zegt,10.79,10.98
29,kwak,11.37,11.85
30,En,13.0,13.12
31,dat,13.12,13.28
32,deden,13.28,13.55
33,zij,13.55,13.78
34,Maar,14.38,14.53
35,de,14.53,14.56
36,andere,14.56,14.89
37,eenden,14.89,15.25
38,in,15.25,15.37
39,de,15.37,15.46
40,rondte,15.46,15.82
41,bekeken,16.07,16.49
42,ze,16.49,16.65
43,en,16.92,17.01
44,zeiden,17.01,17.31
45,tegen,17.31,17.55
46,elkaar,17.55,17.88
47,kijk,18.67,18.98
48,eens,18.98,19.33
49,Nu,19.77,19.85
50,moeten,19.85,20.02
51,wij,20.02,20.14
52,nog,20.14,20.27
53,het,20.27,20.35
54,aanhangsel,20.41,20.86
55,krijgen,20.86,21.29
56,alsof,21.51,21.83
57,wij,21.83,21.91
58,al,21.91,22.01
59,niet,22.01,22.15
60,talrijk,22.21,22.65
61,genoeg,22.65,22.94
62,waren,22.94,23.3
63,En,23.89,24.1
64,foei,24.1,24.73
65,Wat,25.06,25.2
66,ziet,25.2,25.32
67,dat,25.32,25.45
68,ene,25.56,25.82
69,eendje,25.89,26.21
70,er,26.21,26.33
71,uit,26.33,26.69
72,Dat,27.34,27.57
73,willen,27.57,27.77
74,wij,27.77,27.87
75,hier,27.87,28.01
76,niet,28.01,28.15
77,hebben,28.15,28.48
78,En,29.67,29.82
79,terstond,29.82,30.31
80,vloog,30.52,30.84
81,er,30.84,30.87
82,een,30.87,31.02
83,oude,31.08,31.36
84,eend,31.44,31.67
85,naar,31.8,31.9
86,het,31.9,31.97
87,arme,32.04,32.31
88,beest,32.31,32.62
89,toe,32.62,32.84
90,en,33.14,33.3
91,beet,33.3,33.56
92,het,33.56,33.67
93,in,33.67,33.8
94,de,33.8,33.83
95,nek,33.83,34.09
96,Wil,35.22,35.39
97,je,35.39,35.47
98,dat,35.47,35.58
