,word,depth,close,open
0,Het,1,0,2
1,arme,1,0,0
2,eendje,1,1,0
3,had,0,0,0
4,het,0,0,0
5,al,0,0,0
6,heel,1,0,1
7,slecht,1,2,0
8,Op,2,0,2
9,zekere,3,0,1
10,avond,3,0,0
11,juist,4,0,1
12,toen,4,0,0
13,de,6,0,2
14,zon,6,1,0
15,in,6,0,1
16,haar,7,0,1
17,pracht,7,2,0
18,onderging,5,4,0
19,",",0,0,1
20,kwam,1,0,0
21,er,1,0,0
22,een,2,0,1
23,hele,2,0,0
24,troep,2,0,0
25,grote,3,0,1
26,vogels,3,2,0
27,uit,2,0,1
28,het,3,0,1
29,bos,3,4,0
30,Het,1,0,2
31,eendje,1,1,0
32,had,0,0,0
33,er,1,0,1
34,nooit,1,0,0
35,zulke,2,0,1
36,mooie,2,1,0
37,gezien,1,2,0
38,Zij,1,0,2
39,waren,1,0,0
40,spierwit,1,1,0
41,en,0,0,0
42,hadden,1,0,1
43,lange,2,0,1
44,buigzame,2,0,0
45,halzen,2,3,0
46,Het,0,0,1
47,waren,0,0,0
48,zwanen,0,1,0
49,Zij,1,0,2
50,lieten,1,0,0
51,een,2,0,1
52,eigenaardig,2,0,0
53,geluid,2,1,0
54,horen,1,1,0
55,spreidden,1,0,1
56,hun,2,0,1
57,prachtige,2,0,0
58,lange,2,0,0
59,vleugels,2,1,0
60,uit,1,1,0
61,en,0,0,0
62,trokken,1,0,1
63,uit,2,0,1
64,de,3,0,1
65,koude,3,0,0
66,streken,3,2,0
67,naar,2,0,1
68,warmere,3,0,1
69,landen,3,4,0
70,Zij,1,0,1
71,stegen,1,0,0
72,zo,2,0,1
73,hoog,2,1,0
74,zo,3,0,1
75,hoog,2,0,1
76,",",0,0,1
77,dat,4,0,1
78,het,5,0,1
79,het,6,0,1
80,lelijke,6,0,0
81,jonge,6,0,0
82,eendje,6,1,0
83,wonderlijk,5,0,0
84,te,6,0,1
85,moede,6,1,0
86,werd,5,6,0
87,Het,2,0,2
88,draaide,2,0,0
89,zich,2,0,0
90,als,3,0,1
91,een,5,0,2
92,tol,5,0,0
93,in,6,0,1
94,het,7,0,1
95,water,7,3,0
96,rond,4,0,0
97,strekte,4,2,0
98,zijn,3,0,1
99,kop,3,0,0
100,hoog,4,0,1
101,in,4,0,0
102,de,5,0,1
103,lucht,5,0,0
104,naar,6,0,1
105,de,7,0,1
106,zwanen,7,5,0
107,uit,2,1,0
108,en,1,0,0
109,gaf,3,0,2
110,zulk,6,0,3
111,een,6,1,0
112,luiden,5,1,0
113,en,4,0,0
114,zonderlingen,4,2,0
115,schreeuw,3,0,1
116,",",0,0,1
117,dat,4,0,1
118,het,5,0,1
119,er,6,0,1
120,zelf,5,0,0
121,van,6,1,0
122,schrikte,5,6,0
123,Oh,0,0,1
124,het,1,0,1
125,kon,1,0,0
126,die,3,0,2
127,mooie,3,0,0
128,gelukkige,3,0,0
129,vogels,3,1,0
130,niet,2,0,0
131,vergeten,2,3,0
132,En,0,0,1
133,zodra,2,0,2
134,deze,3,0,1
135,niet,6,0,2
136,meer,6,1,0
137,te,4,0,1
138,zien,5,2,0
139,waren,3,2,0
140,dook,1,0,0
141,het,1,0,0
142,onder,1,0,0
143,tot,2,0,1
144,op,3,0,1
145,de,4,0,1
146,grond,4,5,0
147,En,0,0,1
148,toen,2,0,2
149,het,3,0,1
150,weer,3,0,0
151,boven,3,0,0
152,kwam,3,2,0
153,was,1,0,0
154,het,2,0,1
155,als,3,0,1
156,buiten,4,0,1
157,zichzelf,4,5,0
158,Het,2,0,2
159,arme,2,0,0
160,beest,2,1,0
161,wist,1,0,0
162,niet,1,0,0
163,hoe,3,0,2
164,die,5,0,2
165,vogels,5,1,0
166,heetten,4,2,0
167,en,2,0,0
168,ook,4,0,2
169,niet,4,1,0
170,",",0,0,1
171,waar,3,0,0
172,zij,4,0,1
173,naartoe,4,0,0
174,vlogen,4,5,0
175,Maar,0,0,1
176,toch,1,0,1
177,liep,1,0,0
178,het,1,0,0
179,er,1,0,0
180,hoog,1,0,0
181,mee,1,0,0
182,zoals,2,0,1
183,het,4,0,2
184,nog,5,0,1
185,nooit,5,1,0
186,ergens,5,0,1
187,mee,5,1,0
188,gedaan,4,1,0
189,had,3,4,0
190,Het,0,0,1
191,benijdde,0,0,0
192,ze,0,0,0
193,volstrekt,1,0,1
194,niet,1,2,0
195,Hoe,1,0,2
196,zou,2,0,1
197,het,2,0,0
198,hem,3,0,1
199,ook,3,0,0
200,in,4,0,1
201,de,5,0,1
202,gedachten,5,2,0
203,komen,3,3,0
204,te,1,0,1
205,wensen,1,1,0
206,zelf,2,0,1
207,zo,3,0,1
208,mooi,3,1,0
209,te,1,0,1
210,zijn,2,3,0
211,Het,0,0,1
212,zou,0,0,0
213,al,2,0,1
214,blij,2,0,0
215,geweest,2,0,0
216,zijn,1,0,1
217,als,3,0,1
218,de,5,0,2
219,eenden,5,1,0
220,hem,5,0,1
221,maar,5,0,0
222,in,6,0,1
223,haar,7,0,1
224,midden,7,2,0
225,geduld,5,1,0
226,hadden,4,5,0
227,Dat,0,0,1
228,arme,0,0,0
229,leelijke,0,0,0
230,beest,0,1,0
231,Het,0,0,1
232,werd,0,0,0
233,winter,0,1,0
234,Het,0,0,1
235,was,0,0,0
236,koud,0,1,0
237,Snerpend,0,0,1
238,koud,0,1,0
239,Het,1,0,2
240,eendje,1,1,0
241,moest,0,0,0
242,in,2,0,2
243,het,3,0,1
244,water,3,2,0
245,rondzwemmen,1,0,0
246,om,2,0,1
247,te,3,0,1
248,maken,4,0,1
249,dat,5,0,1
250,dit,6,0,1
251,niet,7,0,1
252,helemaal,7,1,0
253,dichtvroor,6,7,0
254,Maar,1,0,1
255,met,3,0,2
256,iedere,4,0,1
257,nacht,4,2,0
258,werd,2,0,0
259,het,3,0,1
260,gat,3,0,0
261,waarin,4,0,1
262,het,5,0,1
263,zwom,5,3,0
264,",",0,0,1
265,al,2,0,0
266,kleiner,3,0,1
267,en,3,0,0
268,kleiner,3,4,0
269,Het,0,0,1
270,vroor,0,0,0
271,dat,1,0,1
272,het,2,0,1
273,kraakte,2,3,0
274,Het,1,0,2
275,eendje,1,1,0
276,moest,0,0,0
277,voortdurend,1,0,1
278,zijn,2,0,1
279,poten,2,1,0
280,gebruiken,1,0,0
281,opdat,2,0,1
282,het,4,0,2
283,gat,4,1,0
284,niet,4,0,1
285,geheel,5,0,1
286,dicht,5,1,0
287,zou,3,0,0
288,gaan,4,5,0
289,Eindelijk,1,0,2
290,werd,1,0,0
291,het,1,0,0
292,moede,1,1,0
293,bleef,1,0,1
294,doodstil,2,0,1
295,liggen,2,2,0
296,en,0,0,0
297,vroor,1,0,1
298,in,2,0,1
299,het,3,0,1
300,ijs,3,2,0
301,vast,1,2,0
302,'s,2,0,3
303,Morgens,2,1,0
304,vroeg,1,1,0
305,kwam,0,0,0
306,er,0,0,0
307,een,1,0,1
308,boer,1,1,0
309,voorbij,0,1,0
310,Toen,3,0,3
311,hij,4,0,1
312,het,5,0,1
313,eendje,5,1,0
314,zag,4,2,0
315,ging,2,0,0
316,hij,2,0,0
317,er,3,0,1
318,heen,3,2,0
319,",",0,0,1
320,trapte,2,0,1
321,het,3,0,1
322,ijs,3,0,0
323,met,4,0,1
324,zijn,5,0,1
325,klomp,5,0,0
326,aan,6,0,1
327,stukken,6,5,0
328,en,1,0,0
329,bracht,2,0,1
330,het,3,0,1
331,dier,3,1,0
332,naar,3,0,1
333,zijn,4,0,1
334,vrouw,4,2,0
335,toe,2,3,0
336,Daar,1,0,1
337,kwam,0,0,1
338,het,0,0,0
339,weer,0,0,0
340,bij,1,2,0
341,De,1,0,2
342,kinderen,1,1,0
343,wilden,0,0,0
344,met,2,0,2
345,hem,2,1,0
346,spelen,1,2,0
347,Maar,0,0,1
348,het,3,0,3
349,eendje,3,1,0
350,dacht,2,0,0
351,dat,3,0,1
352,zij,4,0,1
353,hem,5,0,1
354,kwaad,5,0,0
355,wilden,4,0,0
356,doen,5,4,0
357,en,1,0,0
358,vloog,2,0,1
359,in,3,0,1
360,zijn,4,0,1
361,angst,4,0,0
362,juist,5,0,1
363,in,5,0,0
364,het,6,0,1
