,word,depth,close,open
0,Le,1,0,2
1,ballon,1,1,0
2,marchait,0,0,0
3,avec,1,0,1
4,une,2,0,1
5,assurance,2,0,0
6,singulière,2,2,0
7,et,1,0,1
8,avait,1,0,0
9,un,2,0,1
10,aspect,2,0,0
11,magnifique,2,2,0
12,.,0,1,0
13,Dix,1,0,2
14,minutes,1,1,0
15,environ,0,0,0
16,après,1,0,1
17,notre,2,0,1
18,départ,2,2,0
19,",",0,0,0
20,le,1,0,1
21,baromètre,1,1,0
22,indiquait,0,0,0
23,une,1,0,1
24,hauteur,1,0,0
25,de,2,0,1
26,15,3,0,1
27,000,3,0,1
28,pieds,3,3,0
29,.,0,1,0
30,Le,1,0,2
31,temps,1,1,0
32,était,0,0,0
33,remarquablement,1,0,1
34,beau,1,1,0
35,",",0,0,0
36,et,1,0,1
37,l',2,0,1
38,aspect,2,0,0
39,de,3,0,1
40,la,4,0,1
41,campagne,4,0,0
42,placée,5,0,1
43,sous,6,0,1
44,nos,7,0,1
45,pieds,7,7,0
46,",",0,0,0
47,--,0,0,0
48,un,1,0,1
49,de,2,0,1
50,les,3,0,1
51,plus,3,0,0
52,romantiques,3,0,0
53,à,4,0,1
54,tous,5,0,1
55,les,5,0,0
56,points,6,0,1
57,de,6,0,0
58,vue,6,6,0
59,",",0,0,0
60,--,0,0,0
61,était,2,0,2
62,alors,2,1,0
63,particulièrement,2,0,1
64,sublime,2,2,0
65,.,0,1,0
66,Les,1,0,2
67,gorges,1,0,0
68,nombreuses,2,0,1
69,et,3,0,1
70,profondes,3,3,0
71,présentaient,0,0,0
72,l',1,0,1
73,apparence,1,0,0
74,de,2,0,1
75,lacs,2,2,0
76,",",0,0,0
77,en,2,0,2
78,raison,2,0,0
79,de,2,1,0
80,les,2,0,1
81,épaisses,2,0,0
82,vapeurs,2,0,0
83,dont,3,0,1
84,elles,4,0,1
85,étaient,4,0,0
86,remplies,4,4,0
87,",",0,0,0
88,et,1,0,1
89,les,2,0,1
90,hauteurs,2,0,0
91,et,3,0,1
92,les,4,0,1
93,rochers,4,0,0
94,situés,5,0,1
95,à,6,0,1
96,le,7,0,1
97,sud-est,7,6,0
98,",",1,0,0
99,empilés,2,0,1
100,dans,3,0,1
101,un,4,0,1
102,inextricable,4,0,0
103,chaos,4,3,0
104,",",1,0,0
105,ressemblaient,1,0,0
106,absolument,1,0,0
107,à,2,0,1
108,les,3,0,1
109,cités,3,0,0
110,géantes,3,0,0
111,de,4,0,1
112,la,5,0,1
113,fable,5,0,0
114,orientale,5,5,0
115,.,0,1,0
116,Nous,1,0,2
117,approchions,1,1,0
118,rapidement,0,0,0
119,de,1,0,1
120,les,2,0,1
121,montagnes,2,1,0
122,vers,2,0,1
123,le,3,0,1
124,sud,3,3,0
125,;,0,0,0
126,mais,1,0,1
127,notre,3,0,2
128,élévation,3,1,0
129,était,2,0,0
130,plus,4,0,2
131,que,4,1,0
132,suffisante,3,0,0
133,pour,4,0,1
134,nous,5,0,1
135,permettre,5,1,0
136,de,5,0,1
137,les,6,0,1
138,dépasser,6,1,0
139,en,6,0,1
140,toute,7,0,1
141,sûreté,7,7,0
142,.,0,1,0
143,En,1,0,2
144,quelques,2,0,1
145,minutes,2,2,0
146,",",0,0,0
147,nous,1,0,1
148,planâmes,1,1,0
149,au-dessus,1,0,1
150,magnifiquement,1,1,0
151,",",0,0,0
152,et,1,0,1
153,M.,2,0,1
154,Ainsworth,2,2,0
155,ainsi,2,0,2
156,que,2,1,0
157,les,2,0,1
158,marins,2,1,0
159,furent,2,0,1
160,frappés,2,1,0
161,de,2,0,1
162,leur,3,0,1
163,apparence,3,0,0
164,peu,4,0,1
165,élevée,4,4,0
166,",",0,0,0
167,vue,1,0,1
168,ainsi,1,0,0
169,de,2,0,1
170,la,3,0,1
171,nacelle,3,3,0
172,;,0,0,0
173,une,1,0,1
174,grande,1,0,0
175,élévation,1,0,0
176,en,2,0,1
177,ballon,3,0,1
178,ayant,4,0,1
179,pour,5,0,1
180,résultat,5,1,0
181,de,5,0,1
182,réduire,5,0,0
183,les,6,0,1
184,inégalités,6,0,0
185,de,7,0,1
186,la,8,0,1
187,surface,8,3,0
188,située,6,0,1
189,au-dessous,8,0,2
190,à,8,1,0
191,un,8,0,1
192,niveau,8,0,0
193,presque,9,0,1
194,uni,9,9,0
195,.,0,1,0
196,À,1,0,2
197,onze,2,0,1
198,heures,2,0,0
199,et,3,0,1
200,demie,3,3,0
201,",",0,0,0
202,nous,1,0,1
203,dirigeant,1,1,0
204,toujours,0,0,0
205,vers,1,0,1
206,le,2,0,1
207,sud,2,1,0
208,",",1,0,0
209,ou,2,0,1
210,à,3,0,1
211,peu,3,0,0
212,près,3,3,0
213,",",1,0,1
214,nous,2,0,1
