,word,depth,close,open
0,Il,1,0,2
1,était,1,1,0
2,une,1,0,1
3,fois,1,1,0
4,un,1,0,1
5,roi,1,0,0
6,qui,2,0,1
7,tomba,2,0,0
8,malade,2,0,0
9,",",2,0,0
10,et,3,0,1
11,personne,3,0,0
12,ne,4,0,1
13,croyait,4,1,0
14,qu’,4,0,1
15,il,5,0,1
16,pût,5,1,0
17,conserver,5,0,1
18,la,6,0,1
19,vie,6,6,0
20,.,0,1,0
21,Ce,1,0,2
22,roi,1,1,0
23,avait,0,0,0
24,trois,1,0,1
25,fils,1,0,0
26,qui,2,0,1
27,en,3,0,1
28,ressentirent,3,1,0
29,un,3,0,1
30,vif,3,0,0
31,chagrin,3,3,0
32,;,0,0,0
33,et,1,0,1
34,",",1,0,0
35,comme,2,0,1
36,ils,3,0,1
37,allaient,3,1,0
38,dans,3,0,1
39,le,4,0,1
40,parc,4,0,0
41,de,5,0,1
42,le,6,0,1
43,château,6,4,0
44,pour,3,0,1
45,pleurer,3,2,0
46,",",1,0,0
47,ils,2,0,1
48,y,2,0,0
49,rencontrèrent,2,1,0
50,un,2,0,1
51,vieillard,2,0,0
52,qui,3,0,1
53,leur,4,0,1
54,demanda,4,1,0
55,la,4,0,1
56,cause,4,1,0
57,d’,4,0,1
58,une,5,0,1
59,pareille,5,0,0
60,tristesse,5,5,0
61,.,0,1,0
62,Ils,1,0,2
63,lui,1,0,0
64,racontèrent,1,1,0
65,que,1,0,1
66,leur,2,0,1
67,père,2,1,0
68,était,1,0,0
69,fort,2,0,1
70,malade,2,1,0
71,et,2,0,1
72,qu’,3,0,1
73,il,4,0,1
74,allait,4,1,0
75,à,4,0,1
76,coup,4,0,0
77,sûr,4,1,0
78,mourir,3,3,0
79,",",0,0,0
80,car,1,0,1
81,il,2,0,1
82,n’,2,0,0
83,y,2,0,0
84,avait,2,1,0
85,plus,2,0,1
86,de,2,0,0
87,remède,2,2,0
88,.,0,1,0
89,Mais,1,0,2
90,le,2,0,1
91,vieillard,2,1,0
92,dit,1,0,0
93,:,1,0,0
94,--,2,0,1
95,J’,2,0,0
96,en,2,0,0
97,connais,2,0,0
98,un,2,0,0
99,",",2,0,0
100,c’,2,0,0
101,est,2,0,0
102,l',3,0,1
103,Eau,3,0,0
104,de,4,0,1
105,la,5,0,1
106,vie,5,3,0
107,;,2,0,0
108,celui,3,0,1
109,qui,4,0,1
110,en,5,0,1
111,boit,5,1,0
112,recouvre,5,0,1
113,tout,6,0,1
114,de,6,0,0
115,suite,6,1,0
116,la,6,0,1
117,santé,6,4,0
118,;,2,0,0
119,mais,3,0,1
120,elle,5,0,2
121,est,5,1,0
122,difficile,5,0,1
123,à,6,0,1
124,trouver,6,6,0
125,.,0,1,0
126,--,0,0,1
127,Je,1,0,1
128,la,2,0,1
129,trouverai,2,1,0
130,bien,2,0,1
131,répondit,2,0,0
132,l’,3,0,1
133,aîné,3,3,0
134,",",0,0,0
135,et,1,0,1
136,il,2,0,1
137,courut,2,1,0
138,prier,2,0,1
139,le,3,0,1
140,roi,3,0,0
141,de,4,0,1
142,lui,5,0,1
143,permettre,5,1,0
144,de,6,0,2
145,partir,6,0,0
146,à,6,1,0
