,token,surprisal,entropy,KL,PE,predictions
0,<s>,,,,,De
1,De,3.3539514541625977,7.5221967697143555,3.903316020965576,0.4458739324217331,Volkskrant
2,Ransel,17.805058479309082,5.914303779602051,2.5632691383361816,3.010507938519707,Ċ
3,",",5.47496223449707,6.304591178894043,3.720578670501709,0.86840876420753,de
4,het,3.5962271690368652,6.2662672996521,2.7198498249053955,0.5739026117249301,nieuwe
5,Hoedje,15.769673824310303,5.563566207885742,0.9210212230682373,2.8344542394334282,van
6,en,1.8826509714126587,4.41181755065918,5.069045066833496,0.4267291087618452,de
7,het,1.1685190200805664,3.2237048149108887,2.2640390396118164,0.3624770526990286,W
8,Hoorntje,13.363240242004395,3.276935577392578,0.5484598875045776,4.077968555194295,Ċ
9,.,4.276857376098633,2.3046979904174805,1.8288109302520752,1.8557127197928043,Ċ
10,</s>,3.4162065982818604,1.5094003677368164,11.706184387207031,2.2632872439299154,<unk>
11,<s>,,,,,de
12,Er,7.060862064361572,8.100931167602539,3.7632391452789307,0.8716111664544887,is
13,waren,3.439955711364746,4.4510393142700195,4.821005821228027,0.7728432549081868,nog
14,eens,7.470286846160889,5.5691375732421875,0.6409046649932861,1.3413722947073667,een
15,drie,3.797065019607544,6.004936218261719,1.9584124088287354,0.6323239550921826,van
16,broers,6.519037246704102,7.156488418579102,2.34987211227417,0.910926821285688,en
17,",",2.009972333908081,3.228198528289795,3.7637104988098145,0.6226297163244497,maar
18,die,2.845209836959839,4.913875579833984,1.7644009590148926,0.5790154412204235,in
19,langzamerhand,10.396977424621582,5.383242607116699,0.7713470458984375,1.9313596253077423,een
20,tot,4.508365154266357,5.645260810852051,1.603643774986267,0.7986106054834162,de
21,armoede,8.619658470153809,5.112339019775391,6.733921051025391,1.6860498563987079,kwamen
22,waren,2.1760611534118652,3.995087146759033,3.185201644897461,0.5446842768316503,gekomen
23,vervallen,7.177967548370361,3.4896092414855957,1.9371752738952637,2.056954533199986,.
24,.,1.135005235671997,2.344033718109131,6.232709884643555,0.4842102854167027,Ċ
25,</s>,0.030868874862790108,0.17393915355205536,6.030933856964111,0.17746938646307645,<unk>
26,<s>,,,,,de
27,Eindelijk,9.021947860717773,8.103983879089355,1.86050546169281,1.1132731746909112,een
28,was,4.078588962554932,5.632768154144287,2.9782774448394775,0.7240825205195293,het
29,de,1.867179036140442,3.2900094985961914,4.745594024658203,0.5675299834049553,eerste
30,nood,6.51317834854126,7.379665374755859,9.760198593139648,0.8825845099726808,kreet
31,zo,7.609227657318115,4.771944999694824,5.953771591186523,1.5945757249517212,groot
32,hoog,2.910827159881592,2.360215187072754,6.106611251831055,1.2332888864645142,dat
33,gestegen,4.508805274963379,2.9084532260894775,0.45348992943763733,1.550241631709386,dat
34,",",2.354630708694458,1.8317394256591797,0.7050409317016602,1.285461608627607,dat
35,dat,0.3563351035118103,2.1953020095825195,2.6812191009521484,0.16231712172466628,de
36,zij,4.48845100402832,4.360116958618164,1.5733729600906372,1.0294336245169966,de
37,niets,6.440597057342529,5.3074164390563965,3.7221195697784424,1.21350889482635,meer
38,meer,0.5997629761695862,2.624537467956543,1.0002076625823975,0.22852139986271938,konden
39,te,4.089571475982666,3.8914825916290283,5.270024299621582,1.0509031916986464,eten
