,word,onset,offset
0,De,2.57,2.7
1,Ransel,2.7,3.26
2,het,3.74,3.89
3,Hoedje,3.89,4.34
4,en,4.71,4.83
5,het,4.83,4.95
6,Hoorntje,4.95,5.5
7,Er,7.47,7.6
8,waren,7.6,7.89
9,eens,7.89,8.07
10,drie,8.07,8.35
11,broers,8.35,8.9
12,die,9.24,9.36
13,langzamerhand,9.36,10.09
14,tot,10.09,10.21
15,armoede,10.21,10.71
16,waren,10.71,10.96
17,vervallen,10.96,11.4
18,Eindelijk,12.59,12.95
19,was,12.95,13.16
20,de,13.16,13.2
21,nood,13.2,13.49
22,zo,13.49,13.82
23,hoog,13.82,14.04
24,gestegen,14.04,14.67
25,dat,15.05,15.24
26,zij,15.24,15.33
27,niets,15.33,15.66
28,meer,15.66,15.83
29,te,15.83,15.91
30,eten,15.91,16.26
31,hadden,16.26,16.57
32,en,16.84,16.95
33,honger,16.95,17.23
34,moesten,17.23,17.52
35,lijden,17.52,17.92
36,Toen,18.81,18.94
37,zeiden,18.94,19.24
38,zij,19.24,19.57
39,zo,20.17,20.43
40,kan,20.43,20.59
41,het,20.59,20.66
42,niet,20.66,20.79
43,blijven,20.79,21.27
44,Wij,21.65,21.8
45,zullen,21.8,22.1
46,de,22.1,22.2
47,wereld,22.2,22.56
48,in,22.56,22.73
49,moeten,22.73,23.05
50,en,23.49,23.6
51,ons,23.6,23.75
52,geluk,23.75,24.04
53,zoeken,24.04,24.41
54,En,25.17,25.24
55,zij,25.24,25.38
56,trokken,25.38,25.69
57,weg,25.69,26.09
58,Op,28.0,28.13
59,verre,28.13,28.51
60,wegen,28.51,28.85
61,waren,28.85,29.1
62,zij,29.1,29.24
63,al,29.24,29.36
64,gegaan,29.36,29.86
65,En,30.2,30.3
66,veel,30.3,30.56
67,grassprietjes,30.56,31.4
68,hadden,31.4,31.59
69,zij,31.59,31.72
70,al,31.72,31.83
71,plat,31.83,32.1
72,getreden,32.1,32.7
73,Maar,33.16,33.3
74,het,33.3,33.41
75,geluk,33.41,33.81
76,hadden,33.81,33.99
77,zij,33.99,34.2
78,nog,34.2,34.31
79,niet,34.31,34.52
80,ontmoet,34.52,34.94
81,Op,36.13,36.29
82,een,36.29,36.38
83,dag,36.38,36.52
84,gebeurde,36.52,36.99
85,het,36.99,37.18
86,dat,37.56,37.72
87,zij,37.72,37.84
88,in,37.84,37.93
89,een,37.93,37.97
90,groot,37.97,38.28
91,bos,38.28,38.59
92,kwamen,38.59,39.02
93,En,39.34,39.54
94,midden,39.54,39.76
95,daarin,39.76,40.18
96,was,40.18,40.31
97,een,40.31,40.44
98,berg,40.44,40.88
99,En,41.55,41.7
100,dichterbij,41.7,42.18
101,gekomen,42.18,42.67
102,zagen,42.67,43.03
103,zij,43.03,43.39
104,dat,43.86,44.05
105,de,44.05,44.08
106,berg,44.08,44.39
107,helemaal,44.39,44.72
108,van,44.72,44.81
109,zilver,44.81,45.15
110,was,45.15,45.53
111,Toen,47.17,47.33
112,zei,47.33,47.54
113,de,47.54,47.61
114,oudste,47.61,48.15
115,nu,49.01,49.18
116,heb,49.18,49.34
117,ik,49.34,49.44
118,het,49.44,49.54
119,verlangde,49.54,49.99
120,geluk,49.99,50.28
121,gevonden,50.28,50.84
122,en,51.13,51.24
123,heb,51.24,51.35
124,niets,51.35,51.71
125,verder,51.71,51.95
126,nodig,51.95,52.49
127,Hij,53.44,53.54
128,nam,53.54,53.76
129,zoveel,53.76,54.04
130,zilver,54.04,54.38
131,van,54.38,54.55
132,de,54.55,54.64
133,berg,54.64,54.89
134,als,54.89,55.05
135,hij,55.05,55.2
136,maar,55.2,55.34
137,dragen,55.34,55.68
138,kon,55.68,56.06
139,keerde,56.5,56.77
140,om,56.77,57.14
141,en,57.76,57.85
142,ging,57.85,58.09
143,weer,58.09,58.2
144,naar,58.2,58.31
145,huis,58.31,58.78
146,Maar,60.61,60.77
147,de,60.77,60.83
148,beide,60.83,61.08
149,anderen,61.08,61.45
150,zeiden,61.45,61.85
151,wij,62.37,62.6
152,verlangen,62.6,62.97
153,van,62.97,63.14
154,het,63.14,63.17
155,geluk,63.17,63.44
156,nog,63.53,63.65
157,iets,63.65,63.82
158,meer,63.82,64.12
159,dan,64.12,64.3
160,enkel,64.3,64.59
161,zilver,64.59,65.08
162,En,65.83,65.92
163,zij,65.92,66.09
164,raakten,66.09,66.38
165,het,66.38,66.45
166,niet,66.45,66.64
167,aan,66.64,66.92
168,en,67.01,67.1
169,gingen,67.1,67.35
170,verder,67.35,67.66
171,Toen,69.28,69.38
172,zij,69.78,70.0
173,weer,70.0,70.17
174,een,70.17,70.22
175,paar,70.22,70.51
176,dagen,70.51,70.79
177,gelopen,70.79,71.26
178,hadden,71.26,71.56
179,kwamen,71.95,72.21
180,zij,72.21,72.37
181,aan,72.37,72.54
182,een,72.54,72.63
183,berg,72.63,73.05
184,die,73.39,73.51
185,helemaal,73.51,73.9
186,van,73.9,74.0
187,goud,74.0,74.37
188,was,74.37,74.67
189,De,75.3,75.34
190,tweede,76.58,76.96
191,broeder,76.96,77.16
192,bleef,77.16,77.36
193,staan,77.36,77.79
194,en,77.79,78.0
195,weifelde,78.0,78.5
196,Wat,78.81,78.91
197,zal,79.49,79.68
198,ik,79.68,79.78
199,doen,79.78,80.04
200,dacht,80.04,80.25
201,hij,80.25,80.51
202,Zou,81.25,81.54
203,ik,81.54,81.62
204,van,81.62,81.76
205,het,81.76,81.87
206,goud,81.87,82.26
207,zoveel,82.26,82.73
208,nemen,82.73,83.05
209,dat,83.05,83.15
210,ik,83.15,83.23
211,voor,83.23,83.34
212,mijn,83.34,83.46
213,leven,83.46,83.75
214,genoeg,83.75,84.10499
215,heb,84.10499,84.31
216,Of,85.01,85.12
217,zou,85.12,85.37
218,ik,85.37,85.43
219,verder,85.43,85.67
220,gaan,85.67,86.05
221,Eindelijk,87.16,87.56
222,nam,87.56,87.76
223,hij,87.76,87.91
224,een,87.91,87.97
225,besluit,87.97,88.49
226,vulde,88.83,89.08
227,zijn,89.08,89.31
228,zakken,89.31,89.8
229,met,89.8,89.98
230,wat,89.98,90.17
231,er,90.17,90.29
232,in,90.29,90.48
233,kon,90.48,90.77
234,nam,91.06,91.23
235,afscheid,91.3,91.73
236,van,91.73,91.84
237,zijn,91.84,92.01
238,broer,92.01,92.37
239,en,92.47,92.57
240,ging,92.57,92.87
241,naar,92.87,93.03
242,huis,93.03,93.43
243,Maar,94.78,94.98
244,de,94.98,95.06
245,derde,95.06,95.28
246,sprak,95.28,95.7
247,Goud,96.17,96.49
248,en,96.49,96.56
249,zilver,96.56,96.87
250,trekken,96.87,97.18
251,mij,97.18,97.34
252,niet,97.34,97.63
253,Ik,97.93,98.05
254,zie,98.05,98.24
255,niet,98.24,98.42
256,af,98.42,98.83
257,van,99.05,99.14
258,het,99.14,99.26
259,geluk,99.26,99.68
260,Misschien,100.29,100.65
261,is,100.65,100.8
262,er,100.8,100.83
263,voor,100.83,101.0
264,mij,101.0,101.2
265,nog,101.2,101.33
266,iets,101.33,101.45
267,beters,101.45,101.82
268,weggelegd,101.82,102.47
269,Hij,103.59,103.63
270,trok,104.22,104.6
271,verder,104.6,105.05
272,En,105.12,105.23
273,toen,105.23,105.38
274,hij,105.38,105.49
275,drie,105.49,105.69
276,dagen,105.69,105.98
277,gelopen,105.98,106.46
