,Word,logWF
0,Hij,4.724433561079115
1,hoopte,10.271682037778348
2,dat,3.813209089505593
3,zijn,4.832293204174738
4,gelukszon,
5,nog,5.515076591760519
6,klaarder,
7,zou,5.988701899926984
8,gaan,5.933040094148387
9,schijnen,11.655995546484277
10,Tegen,6.876495192618336
11,zonsondergang,11.382931674542052
12,kwam,7.644115267142177
13,hij,4.724433561079115
14,bij,6.005183464950616
15,een,4.0189303733045225
16,andere,7.330413627266212
17,kolenbrander,
18,die,4.933073683498688
19,bij,6.005183464950616
20,het,3.7118627352719065
21,vuur,9.204626580451997
22,zijn,4.832293204174738
23,avondmaal,12.939571401409182
24,klaar,7.494230735388323
25,maakte,8.947066224446328
26,Wil,5.527577862062109
27,je,3.3074627183122343
28,met,4.989048824802069
29,mij,5.975372779003833
30,eten,7.715362007014867
31,zei,6.658016968673825
32,de,3.718642524132941
33,zwarte,9.167357958537636
34,gezel,15.195636478768334
35,Aardappelen,11.969514245379365
36,met,4.989048824802069
37,zout,11.07438446362631
38,maar,4.781224216466304
39,zonder,7.569110576134948
40,vet,10.89649750390022
41,Ga,5.831709222231216
42,dan,5.449616464393709
43,maar,4.781224216466304
44,zitten,7.203951938685261
45,Nee,5.781257535277647
46,zei,6.658016968673825
47,hij,4.724433561079115
48,Vandaag,7.903051793156896
49,moet,5.539550241515337
50,je,3.3074627183122343
51,mijn,5.423423127970118
52,gast,9.785615122640296
53,zijn,4.832293204174738
54,En,4.26959172556336
55,hij,4.724433561079115
56,spreidde,14.549009313843282
57,zijn,4.832293204174738
58,kleedje,13.929970105437057
59,uit,5.886257349589803
60,En,4.26959172556336
61,’,
62,t,9.034620966798599
63,was,5.239465916128843
64,dadelijk,11.183356869600537
65,met,4.989048824802069
66,de,3.718642524132941
67,heerlijkste,14.820943029326925
68,gerechten,13.550480483732155
69,bezet,10.964168498129256
70,Zij,7.188118058451619
71,aten,12.013801925580482
72,en,4.26959172556336
73,dronken,9.47472875458667
74,samen,7.90027152507824
75,en,4.26959172556336
76,hadden,7.848161067127714
77,schik,14.038183690077291
78,Na,7.4295663280696775
79,het,3.7118627352719065
80,eten,7.715362007014867
81,zei,6.658016968673825
82,de,3.718642524132941
83,kolenbrander,
84,ik,3.2218043182888296
85,heb,4.934366414055499
86,een,4.0189303733045225
87,oud,8.604586460370616
88,versleten,12.518357936332878
89,hoedje,12.848599623203455
90,dat,3.813209089505593
91,heeft,5.611065264336855
92,zeldzame,11.987729685270708
93,eigenschappen,12.260812958301335
94,Als,5.060348409354168
95,iemand,6.700242816220647
96,het,3.7118627352719065
97,opzet,11.055391927799036
98,en,4.26959172556336
99,op,4.819750439675106
100,zijn,4.832293204174738
101,hoofd,8.202204045809705
102,ronddraait,14.703159993670539
103,dan,5.449616464393709
104,schieten,8.930162449992867
105,de,3.718642524132941
106,kanonnen,11.788396782650217
107,of,6.058394798231256
108,er,4.807225896789326
109,twaalf,9.976263937938358
110,naast,9.2784547442726
111,elkander,14.374655926698505
112,waren,7.340549974861074
113,opgesteld,12.204460021750204
114,En,4.26959172556336
115,ze,4.6766119975000535
116,schieten,8.930162449992867
117,alles,6.372189291133207
118,neer,8.574957395212476
119,dat,3.813209089505593
120,niemand,7.246031681310174
121,er,4.807225896789326
122,iets,6.0989637586327285
123,aan,5.562664046125813
124,verhelpen,12.718334428365553
125,kan,5.51501978745701
126,Aan,5.562664046125813
127,het,3.7118627352719065
128,hoedje,12.848599623203455
129,heb,4.934366414055499
