,word,depth,close,open
0,Toen,1,0,2
1,hij,2,0,1
2,aan,3,0,1
3,het,4,0,1
4,kasteel,4,2,0
5,kwam,2,2,0
6,ging,0,0,0
7,het,1,0,1
8,alles,1,0,0
9,zoals,2,0,1
10,de,4,0,2
11,vos,4,1,0
12,gezegd,3,0,0
13,had,3,4,0
14,Hij,0,0,1
15,vond,0,0,0
16,het,1,0,1
17,vertrek,1,0,0
18,waar,2,0,1
19,de,4,0,2
20,gouden,4,0,0
21,vogel,4,1,0
22,in,4,0,1
23,een,5,0,1
24,houten,5,0,0
25,kooi,5,2,0
26,zat,3,4,0
27,En,0,0,1
28,de,2,0,2
29,gouden,2,0,0
30,kooi,2,1,0
31,stond,1,0,0
32,ernaast,1,2,0
33,De,1,0,2
34,drie,1,0,0
35,gouden,1,0,0
36,appels,1,1,0
37,lagen,0,0,0
38,verspreid,1,0,1
39,in,2,0,1
40,de,3,0,1
41,kamer,3,4,0
42,Maar,0,0,1
43,hij,2,0,2
44,dacht,2,1,0
45,het,2,0,1
46,was,2,0,0
47,toch,2,0,0
48,te,3,0,1
49,mal,3,1,0
50,om,3,0,1
51,die,6,0,2
52,mooie,6,0,0
53,vogel,6,0,0
54,in,7,0,1
55,de,8,0,1
56,lelijke,8,0,0
57,kooi,8,3,0
58,te,4,0,1
59,laten,5,6,0
60,En,0,0,1
61,hij,2,0,2
62,deed,2,0,0
63,het,3,0,1
64,deurtje,3,1,0
65,open,2,1,0
66,pakte,2,0,1
67,de,3,0,1
68,vogel,3,2,0
69,en,1,0,0
70,zette,2,0,1
71,hem,2,0,0
72,in,3,0,1
73,de,4,0,1
74,gouden,4,0,0
75,kooi,4,5,0
76,Maar,0,0,1
77,op,2,0,2
78,dat,3,0,1
79,moment,3,2,0
80,gaf,1,0,0
81,de,2,0,1
82,vogel,2,1,0
83,een,2,0,1
84,doordringende,2,0,0
85,kreet,2,3,0
86,De,2,0,3
87,soldaten,2,1,0
88,ontwaakten,1,1,0
89,stormden,1,0,1
90,naar,2,0,1
91,binnen,2,2,0
92,en,0,0,0
93,brachten,1,0,1
94,hem,1,0,0
95,in,2,0,1
96,de,3,0,1
97,gevangenis,3,4,0
98,De,2,0,2
99,volgende,2,0,0
100,morgen,2,1,0
101,werd,0,0,1
102,er,1,0,0
103,gerecht,1,0,1
104,over,2,0,1
105,hem,2,2,0
106,gehouden,1,2,0
107,En,0,0,1
108,toen,3,0,2
109,hij,4,0,1
110,alles,4,0,0
111,bekende,4,2,0
112,werd,1,0,1
113,hij,1,0,0
114,ter,3,0,1
115,dood,3,1,0
116,veroordeeld,2,3,0
117,Maar,0,0,1
118,de,2,0,2
119,koning,2,1,0
120,wilde,1,0,0
121,hem,2,0,1
122,op,4,0,2
123,een,5,0,1
124,voorwaarde,5,2,0
125,het,4,0,1
126,leven,4,1,0
127,laten,2,0,0
128,behouden,3,4,0
129,Als,0,0,1
130,hij,1,0,1
131,namelijk,1,0,0
132,het,2,0,1
133,gouden,2,0,0
134,paard,2,0,0
135,bracht,1,0,0
136,dat,3,0,1
137,sneller,5,0,1
138,loopt,4,0,1
139,dan,6,0,1
140,de,7,0,1
141,wind,7,8,0
142,En,0,0,1
143,dan,2,0,1
144,zou,1,0,1
145,hij,1,0,0
146,nog,2,0,0
147,als,2,0,1
148,beloning,2,1,0
149,de,3,0,1
150,vogel,3,1,0
151,krijgen,2,3,0
152,De,1,0,2
153,prins,1,1,0
154,ging,0,0,0
155,op,1,0,1
156,weg,1,2,0
157,Maar,0,0,1
158,hij,3,0,3
159,zuchtte,3,1,0
160,en,2,0,0
161,was,3,0,1
162,droefgeestig,3,2,0
163,want,1,0,0
164,waar,2,0,1
165,zou,3,0,1
166,hij,3,0,0
167,het,5,0,2
168,gouden,5,0,0
169,paard,5,1,0
170,vinden,4,5,0
171,Daar,0,0,1
172,zag,0,0,0
173,hij,0,0,0
174,opeens,0,0,0
175,zijn,1,0,1
176,oude,1,0,0
177,vriend,1,0,0
178,de,2,0,1
179,vos,2,1,0
180,aan,2,0,1
181,de,3,0,1
182,weg,3,3,0
183,zitten,0,1,0
184,Zie,2,0,2
185,je,2,1,0
186,zei,2,0,1
187,die,2,0,0
188,",",0,0,1
189,dat,3,0,1
190,komt,3,0,0
191,ervan,3,1,0
192,",",0,0,0
193,dat,3,0,1
194,je,4,0,1
195,niet,5,0,1
196,naar,6,0,1
197,mij,6,1,0
198,geluisterd,5,1,0
199,hebt,4,5,0
200,Maar,0,0,1
201,ik,1,0,1
202,zal,1,0,0
203,je,2,0,1
204,wel,2,0,0
205,helpen,2,3,0
206,Hou,0,0,1
207,maar,0,0,0
208,moed,0,1,0
209,Ik,0,0,1
210,zal,0,0,0
211,je,1,0,1
212,zeggen,1,0,0
213,hoe,2,0,1
214,je,3,0,1
215,bij,5,0,2
216,het,6,0,1
217,gouden,6,0,0
218,paard,6,2,0
219,moet,3,0,0
220,komen,4,5,0
221,Je,0,0,1
222,moet,0,0,0
223,maar,1,0,1
224,rechtuit,1,0,0
225,gaan,1,2,0
226,Dan,0,0,1
227,kom,0,0,0
228,je,0,0,0
229,eindelijk,0,0,0
230,aan,1,0,1
231,een,2,0,1
232,slot,2,3,0
233,Daar,0,0,1
234,staat,0,0,0
235,het,1,0,1
236,paard,1,1,0
237,in,1,0,1
238,een,2,0,1
239,stal,2,3,0
240,Voor,1,0,2
241,de,2,0,1
242,stal,2,2,0
243,liggen,0,0,0
244,de,1,0,1
245,stalknechts,1,2,0
246,Maar,0,0,1
247,die,2,0,2
248,slapen,2,1,0
249,en,1,0,0
250,snorken,1,2,0
251,Je,0,0,1
252,kunt,0,0,0
253,rustig,1,0,1
254,het,2,0,1
255,gouden,2,0,0
256,paard,2,1,0
257,naar,2,0,1
258,buiten,2,1,0
259,brengen,1,2,0
260,Voor,3,0,2
261,een,4,0,1
262,ding,4,2,0
263,heb,0,0,1
264,je,0,0,0
265,te,1,0,1
266,zorgen,2,3,0
267,Zadel,0,0,1
268,hem,0,0,0
269,met,2,0,2
270,de,3,0,1
271,lelijke,3,0,0
272,zadel,3,0,0
273,van,4,0,1
274,hout,5,0,1
275,en,5,0,0
276,leer,5,4,0
277,en,1,0,0
278,niet,2,0,1
279,met,2,0,0
280,de,3,0,1
281,gouden,3,0,0
282,die,4,0,1
283,er,6,0,2
284,bij,6,1,0
285,hangt,5,6,0
286,Of,0,0,1
287,het,1,0,1
288,gaat,1,0,0
289,je,1,0,0
290,slecht,1,2,0
291,Toen,0,0,1
292,strekte,0,0,0
293,de,1,0,1
294,vos,1,1,0
295,zijn,1,0,1
296,staart,1,1,0
297,uit,0,1,0
298,De,1,0,2
299,prins,1,1,0
300,ging,0,0,0
301,erop,1,0,1
302,zitten,1,2,0
303,En,1,0,1
304,voort,2,0,1
305,over,3,0,1
306,stok,5,0,1
307,en,4,0,1
308,steen,4,5,0
309,",",0,0,1
310,dat,6,0,1
311,de,8,0,2
312,haren,8,1,0
313,floten,7,0,0
314,in,8,0,1
315,de,9,0,1
316,wind,9,5,0
317,Het,0,0,1
318,ging,0,0,0
319,alles,0,0,0
320,juist,1,0,1
321,zo,1,2,0
322,Hij,0,0,1
323,kwam,0,0,0
324,in,1,0,1
325,de,2,0,1
326,stal,2,0,0
327,waar,3,0,1
328,het,5,0,2
329,gouden,5,0,0
330,paard,5,1,0
331,stond,4,5,0
332,Maar,1,0,1
333,toen,4,0,3
334,hij,5,0,1
335,hem,6,0,1
336,de,7,0,1
337,houten,7,0,0
338,zadel,7,1,0
339,zou,5,0,0
340,opleggen,6,3,0
341,dacht,3,0,0
342,hij,3,1,0
343,:,0,0,1
344,het,3,0,1
345,misstaat,3,0,0
346,toch,3,0,0
347,zo’n,4,0,1
348,mooi,4,0,0
349,dier,4,1,0
350,",",0,0,0
351,als,4,0,1
352,ik,5,0,1
353,hem,5,0,0
354,niet,5,0,0
355,zadel,5,5,0
356,zoals,0,0,0
357,het,0,0,0
358,behoort,0,1,0
359,Maar,1,0,2
360,toen,3,0,2
361,de,5,0,2
362,gouden,5,0,0
363,zadel,5,1,0
364,het,5,0,1
365,paard,5,1,0
366,aanraakte,4,2,0
367,begon,2,0,0
368,het,2,2,0
369,op,0,0,0
370,eens,2,0,1
371,luid,2,0,0
372,te,1,0,1
373,hinneken,2,3,0
374,De,2,0,3
375,stalknechts,2,1,0
376,werden,1,0,0
377,wakker,1,1,0
378,grepen,1,0,1
379,de,2,0,1
380,jongeling,2,2,0
381,en,0,0,0
382,brachten,1,0,1
383,hem,1,0,0
384,in,2,0,1
385,de,3,0,1
386,kerker,3,4,0
387,De,2,0,2
388,volgende,2,0,0
389,morgen,2,1,0
390,werd,0,0,1
391,hij,0,0,0
392,door,2,0,1
393,het,3,0,1
394,gerecht,3,2,0
395,ter,2,0,1
396,dood,2,1,0
397,veroordeeld,1,2,0
398,Maar,0,0,1
399,de,2,0,2
400,koning,2,1,0
401,schonk,1,0,0
402,hem,1,0,0
403,het,3,0,1
404,leven,3,0,0
405,en,2,0,1
406,ook,3,0,1
407,het,3,0,0
408,gouden,3,0,0
409,paard,3,4,0
410,als,4,0,1
411,hij,5,0,1
412,de,7,0,2
413,schone,7,0,0
414,koningsdochter,7,0,0
415,van,8,0,1
416,het,9,0,1
417,gouden,9,0,0
418,slot,9,3,0
419,bij,7,0,1
420,hem,7,1,0
421,kon,5,0,0
422,brengen,6,4,0
423,Droevig,0,0,1
424,begon,0,0,0
425,de,1,0,1
426,jongeling,1,1,0
427,zijn,1,0,1
428,reis,1,2,0
429,Maar,0,0,1
430,gelukkig,1,0,1
431,vond,1,0,0
432,hij,1,0,0
433,gauw,1,0,0
434,zijn,2,0,1
435,getrouwe,2,0,0
436,vos,2,3,0
437,Ik,1,0,2
438,moest,1,0,0
439,je,1,0,0
440,eigenlijk,1,1,0
441,maar,2,0,2
442,in,3,0,1
443,je,5,0,2
444,eigen,5,0,0
445,sop,5,1,0
446,laten,4,2,0
447,gaarkoken,2,1,0
448,zei,1,0,0
449,de,2,0,1
450,vos,2,3,0
451,Maar,0,0,1
452,ik,2,0,2
453,heb,2,0,0
454,meelijden,3,0,1
455,met,4,0,1
456,je,4,3,0
457,en,1,0,0
458,zal,2,0,1
459,je,3,0,1
460,nog,3,0,0
461,eens,3,0,0
462,uit,4,0,1
463,de,5,0,1
464,nood,5,2,0
465,helpen,3,4,0
466,Je,1,0,2
467,weg,1,1,0
468,brengt,0,0,0
469,je,1,0,1
470,recht,1,1,0
471,naar,1,0,1
472,het,2,0,1
473,gouden,2,0,0
474,slot,2,3,0
475,s,2,0,2
476,Avonds,2,1,0
477,zul,0,0,1
478,je,0,0,0
479,er,1,0,0
480,aankomen,1,2,0
481,En,0,0,1
482,s,3,0,3
483,nachts,3,1,0
484,als,3,0,1
485,alles,4,0,1
486,stil,4,0,0
487,is,4,3,0
488,gaat,1,0,0
489,de,2,0,1
490,schone,2,0,0
491,koningsdochter,2,1,0
492,naar,2,0,1
493,het,3,0,1
494,badvertrek,3,2,0
495,om,2,0,1
496,daar,4,0,1
497,te,3,0,1
498,baden,4,5,0
499,Als,1,0,2
500,zij,2,0,1
